Tipo de Reporte;Matricula;Aeródromo;Data;Hora ;Fase do Voo;Efeito no voo
quase colisão;FAB5539;SBSM;06/07/2019;07:45;Decolagem;outros
avistamento;;SBFS;06/07/2019;15:33;Revisão de pista;Nenhum
avistamento;;SBSP;06/07/2019;16:31;Revisão de pista;Nenhum
quase colisão;PRSEF;9PIX;05/07/2019;07:30;Pouso;Desestabilização na aproximação
avistamento;PPPTO;SBRP;05/07/2019;12:05;Pouso;Não reportada
avistamento;FAB2318;SBNT;05/07/2019;14:00;NBA;Nenhum
avistamento;FAB5915;SBNT;05/07/2019;09:40;NBA;Nenhum
avistamento;;SBCB;05/07/2019;06:50;Táxi;Nenhum
avistamento;PRMAU;SNMZ;05/07/2019;11:48;Táxi;Nenhum
avistamento;;SBSP;05/07/2019;10:49;Revisão de pista;Nenhum
avistamento;;SBKP;05/07/2019;20:22;Revisão de pista;Nenhum
avistamento;;SBBV;05/07/2019;15:30;Aproximação;Nenhum
avistamento;1022;SBES;04/07/2019;10:20;Aproximação;Desestabilização na aproximação
avistamento;PTXIS;SBBH;04/07/2019;11:39;Pouso;Nenhum
avistamento;;SBRF;04/07/2019;09:00;Revisão de pista;Nenhum
avistamento;;SBRF;04/07/2019;16:00;Revisão de pista;Nenhum
avistamento;FAB2303;SBNT;04/07/2019;11:10;Subida;Nenhum
avistamento;FAB5912;SBNT;04/07/2019;16:00;Decolagem;Nenhum
avistamento;FAB2312;SBNT;04/07/2019;08:00;Cruzeiro;Nenhum
avistamento;;SBMT;04/07/2019;12:15;Revisão de pista;Nenhum
avistamento;PRSEF;9PCI;03/07/2019;08:43;Decolagem;Nenhum
avistamento;PROMY;SBME;03/07/2019;10:20;Aproximação;Nenhum
avistamento;1022;SBES;03/07/2019;11:20;Pouso;Nenhum
avistamento;PPINQ;SBBH;03/07/2019;12:14;Aproximação;Nenhum
avistamento;FAB4826;SBAN;03/07/2019;10:55;Táxi;Nenhum
avistamento;C98;SBSL;03/07/2019;15:00;Aproximação;Nenhum
avistamento;;SBRF;03/07/2019;16:00;Revisão de pista;Nenhum
avistamento;;SBSP;03/07/2019;08:43;Revisão de pista;Nenhum
avistamento;FAB1444;SBYS;03/07/2019;10:37;Estacionamento;Nenhum
avistamento;5703;SBYS;03/07/2019;10:56;Aproximação;Nenhum
avistamento;FAB2339;SBNT;03/07/2019;14:20;Aproximação;Nenhum
quase colisão;;SBNT;03/07/2019;11:05;Aproximação;Desestabilização na aproximação
avistamento;;SBJU;03/07/2019;10:35;Revisão de pista;Nenhum
quase colisão;FAB4823;SBAN;03/07/2019;10:50;Aproximação;Desestabilização na aproximação
avistamento;PRSEF;9PCI;03/07/2019;08:43;Decolagem;Nenhum
avistamento;PROMY;SBME;03/07/2019;10:20;Aproximação;Nenhum
avistamento;1022;SBES;03/07/2019;11:20;Pouso;Nenhum
avistamento;PPINQ;SBBH;03/07/2019;12:14;Aproximação;Nenhum
avistamento;FAB4826;SBAN;03/07/2019;10:55;Táxi;Nenhum
avistamento;C98;SBSL;03/07/2019;15:00;Aproximação;Nenhum
avistamento;;SBRF;03/07/2019;16:00;Revisão de pista;Nenhum
avistamento;;SBSP;03/07/2019;08:43;Revisão de pista;Nenhum
avistamento;FAB1444;SBYS;03/07/2019;10:37;Estacionamento;Nenhum
avistamento;5703;SBYS;03/07/2019;10:56;Aproximação;Nenhum
avistamento;FAB2339;SBNT;03/07/2019;14:20;Aproximação;Nenhum
quase colisão;;SBNT;03/07/2019;11:05;Aproximação;Desestabilização na aproximação
avistamento;;SBJU;03/07/2019;10:35;Revisão de pista;Nenhum
quase colisão;FAB4823;SBAN;03/07/2019;10:50;Aproximação;Desestabilização na aproximação
avistamento;;SBMT;03/07/2019;12:32;Revisão de pista;Nenhum
quase colisão;FAB2729;SBBE;02/07/2019;10:00;Aproximação;Desestabilização na aproximação
avistamento;PPBIC;SBUR;02/07/2019;12:09;Decolagem;Nenhum
avistamento;PAM5962;SBSN;02/07/2019;11:01;Decolagem;Nenhum
quase colisão;FAB4870;SBAN;02/07/2019;11:00;Pouso;Desestabilização na aproximação
avistamento;;SBCO;02/07/2019;12:00;Revisão de pista;Nenhum
avistamento;;SBRF;02/07/2019;11:00;Revisão de pista;Nenhum
quase colisão;PPBIC;SBUR;02/07/2019;12:10;Decolagem;Nenhum
avistamento;;SBFL;02/07/2019;20:24;Revisão de pista;Nenhum
avistamento;;SBNT;02/07/2019;20:45;Estacionamento;Nenhum
avistamento;PTXPI;SBGR;02/07/2019;20:17;Táxi;Nenhum
avistamento;N1022;SBES;02/07/2019;11:30;Aproximação;Nenhum
avistamento;;SBSP;02/07/2019;09:49;Revisão de pista;Nenhum
quase colisão;FAB1386;SBYS;01/07/2019;13:40;Aproximação;outros
avistamento;FAB1394;SBYS;01/07/2019;09:30;Aproximação;Nenhum
avistamento;N1022;SBES;01/07/2019;09:30;Aproximação;Nenhum
quase colisão;PRSED;9PCI;01/07/2019;16:20;Pouso;Desestabilização na aproximação
avistamento;;SBSP;01/07/2019;16:31;Revisão de pista;Nenhum
avistamento;;SBCO;01/07/2019;14:00;Estacionamento;Nenhum
avistamento;;SBYS;01/07/2019;10:30;Estacionamento;Nenhum
quase colisão;1944;SBYS;01/07/2019;16:00;Decolagem;Nenhum
quase colisão;PRSED;9PCI;01/07/2019;16:20;Pouso;Nenhum
;;;;;;
