Tipo de Reporte;Matricula;Aeródromo;Data;Hora ;Fase do Voo;Efeito no voo
AVISTAMENTO;PRAQZ;SBKG;28/07/2019;14:15;Pouso;Nenhum
AVISTAMENTO;;SKBP;28/07/2019;22:25;Revisão de pista;Nenhum
QUASE COLISÃO;7803;SBSM;28/07/2019;13:30;Decolagem;Nenhum
AVISTAMENTO;GLO1655;SBIL;28/07/2019;09:56;Decolagem;Nenhum
AVISTAMENTO;;SBMT;27/07/2019;12:45;Revisão de pista;Nenhum
AVISTAMENTO;;SBPB;27/07/2019;07:20;Estacionamento;Nenhum
QUASE COLISÃO;PRBTT;SBIL;27/07/2019;10:50;Decolagem;outros
QUASE COLISÃO;PRBTT;SBIL;27/07/2019;11:10;Aproximação;outros
AVISTAMENTO;PRAYF;SBFN;27/07/2019;15:38;Subida;outros
AVISTAMENTO;;SBSP;27/07/2019;16:25;Revisão de pista;Nenhum
AVISTAMENTO;;SBPS;27/07/2019;08:30;Revisão de pista;Nenhum
AVISTAMENTO;AZU5055;SBIL;27/07/2019;13:26;Pouso;Nenhum
AVISTAMENTO;PTAJJ;SBPL;26/07/2019;15:39;Decolagem;Não reportada
AVISTAMENTO;PRSRT;SBBH;26/07/2019;14:40;Descida;Nenhum
COLISÃO;PRGON;SBGO;26/07/2019;08:21;Decolagem;Nenhum
AVISTAMENTO;;SBMQ;26/07/2019;16:30;Revisão de pista;Nenhum
COLISÃO;PRAYY;SBGL;25/07/2019;08:19;Decolagem;Pouso de precaução,Corte apagamento de motor(es)
QUASE COLISÃO;PRJRY;SBSP;25/07/2019;16:55;Táxi;Não reportada
AVISTAMENTO;;SBFL;25/07/2019;16:50;Revisão de pista;Não reportada
AVISTAMENTO;;SBSP;25/07/2019;16:05;Revisão de pista;Nenhum
AVISTAMENTO;6053;SBGL;25/07/2019;14:00;Pouso;Nenhum
QUASE COLISÃO;4009;SBES;24/07/2019;09:13;Táxi;Nenhum
AVISTAMENTO;PRVBO;SBPA;24/07/2019;06:27;Revisão de pista;Nenhum
AVISTAMENTO;;SBPB;24/07/2019;07:45;Revisão de pista;Nenhum
AVISTAMENTO;PROHQ;SBME;24/07/2019;09:57;Decolagem;Nenhum
QUASE COLISÃO;3037;SBES;24/07/2019;12:00;Cruzeiro;outros
AVISTAMENTO;;SBSP;24/07/2019;16:13;Revisão de pista;Nenhum
COLISÃO;PRAZH;SBRJ;24/07/2019;19:31;Decolagem;Pouso de precaução
AVISTAMENTO;;SBMT;24/07/2019;12:05;Revisão de pista;Nenhum
AVISTAMENTO;PRNLN;SBCB;24/07/2019;10:36;Pouso;Nenhum
AVISTAMENTO;2313;SBNT;23/07/2019;10:40;Decolagem;Nenhum
QUASE COLISÃO;FAB7101;SBBE;23/07/2019;12:00;Descida;Desestabilização na aproximação
