Tipo de Reporte;Matricula;Aeródromo;Data;Hora ;Fase do Voo;Efeito no voo
AVISTAMENTO;;SBCB;23/09/2019;17:36;Decolagem;Nenhum
AVISTAMENTO;;SBSP;23/09/2019;15:39;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;23/09/2019;15:39;Revisão de pista;Nenhum
QUASE COLISÃO;FAB4856;SBAN;23/09/2019;15:55;Subida;outros
AVISTAMENTO;;SBYS;23/09/2019;16:40;Revisão de pista;Nenhum
AVISTAMENTO;;SBBE;23/09/2019;08:15;Revisão de pista;Nenhum
AVISTAMENTO;PRGTE;SBFL;22/09/2019;09:39;Decolagem;Nenhum
AVISTAMENTO;PREAE;SBME;22/09/2019;12:12;Subida;Nenhum
COLISÃO;PRGGK;SBGL;22/09/2019;10:57;Pouso;Nenhum
AVISTAMENTO;;SBRF;22/09/2019;06:00;Revisão de pista;Nenhum
QUASE COLISÃO;GLO2092;SBCT;22/09/2019;21:50;Aproximação;outros
AVISTAMENTO;;SBSP;22/09/2019;16:21;Revisão de pista;Nenhum
AVISTAMENTO;FAB2736;SBTF;22/09/2019;13:10;Subida;Nenhum
AVISTAMENTO;;SBMT;22/09/2019;11:28;Revisão de pista;Nenhum
AVISTAMENTO;PRGZF;SBGR;21/09/2019;06:42;Táxi;Não reportada
AVISTAMENTO;PTWLH;SBRP;21/09/2019;11:07;Decolagem;Nenhum
AVISTAMENTO;;SBRF;21/09/2019;11:00;Revisão de pista;Nenhum
AVISTAMENTO;PPAJI;SBDN;21/09/2019;14:42;Subida;Nenhum
AVISTAMENTO;;SBSP;21/09/2019;15:28;Revisão de pista;Nenhum
AVISTAMENTO;7201;SBES;21/09/2019;14:00;Aproximação;Nenhum
AVISTAMENTO;7201;SBES;21/09/2019;12:30;Decolagem;Nenhum
AVISTAMENTO;1022;SBES;21/09/2019;15:30;Aproximação;Nenhum
AVISTAMENTO;N1022;SBES;21/09/2019;17:00;Cruzeiro;Nenhum
AVISTAMENTO;;SBBV;21/09/2019;13:15;Aproximação;Nenhum
AVISTAMENTO;;SBBI;21/09/2019;06:30;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;20/09/2019;10:33;Revisão de pista;Nenhum
COLISÃO;8901;SBCG;20/09/2019;08:20;Pouso;Pouso de precaução
AVISTAMENTO;PTAMP;SBBH;20/09/2019;14:23;Decolagem;Nenhum
AVISTAMENTO;;SBUL;20/09/2019;17:30;Revisão de pista;Nenhum
AVISTAMENTO;PTXPJ;SBPA;20/09/2019;19:45;Táxi;Nenhum
AVISTAMENTO;PRWSG;SBCB;19/09/2019;09:24;Pouso;Nenhum
AVISTAMENTO;PTXOI;SBBV;19/09/2019;09:39;Decolagem;Nenhum
AVISTAMENTO;PRVFC;SBBH;19/09/2019;15:11;Aproximação;Nenhum
AVISTAMENTO;PRAMU;SBBH;19/09/2019;15:16;Pouso;Nenhum
QUASE COLISÃO;FAB2582;SBBE;19/09/2019;10:10;Pouso;Desestabilização na aproximação,outros
AVISTAMENTO;PRSEC;SBME;19/09/2019;15:57;Aproximação;Não reportada
AVISTAMENTO;;SBSP;19/09/2019;10:39;Revisão de pista;Nenhum
AVISTAMENTO;PTOZJ;SBSL;19/09/2019;16:30;Decolagem;Nenhum
AVISTAMENTO;;SBSP;19/09/2019;15:46;Revisão de pista;Nenhum
QUASE COLISÃO;PTWOT;SBFZ;19/09/2019;13:25;Táxi;Nenhum
AVISTAMENTO;;SBBE;19/09/2019;22:17;Revisão de pista;Nenhum
AVISTAMENTO;;SBRF;18/09/2019;06:00;Revisão de pista;Nenhum
QUASE COLISÃO;PRBTT;SBIL;18/09/2019;11:11;Pouso;outros
AVISTAMENTO;;SBKP;18/09/2019;16:10;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;18/09/2019;10:46;Revisão de pista;Nenhum
AVISTAMENTO;NIL;SBRJ;18/09/2019;10:41;Pouso;Nenhum
AVISTAMENTO;;SBBV;18/09/2019;09:05;Decolagem;outros
AVISTAMENTO;;SBKP;18/09/2019;14:23;Revisão de pista;Nenhum
